Timestamp,Age,Grade/Class,Gender,Average hours spent studying per day,Preferred study method,Subject(s) you find most challenging,Extra-curricular activities you participate in,Do you feel marginalized or discriminated against at School/College/University?,"Have you ever used tobacco, alcohol, or other substances?"
2026/04/07 8:33:58 AM GMT+5,17.0,Under-Grad (Bachelors),Prefer Not Say,More than 4 hours,Online tutorials,English,Arts/Music,Often,Yes
2026/04/07 8:36:00 AM GMT+5,36.0,9,Male,2–4 hours,Group study,English,Arts/Music,Rarely,Yes
2026/04/07 8:42:29 AM GMT+5,24.0,11,Prefer Not Say,Less than 1 hour,Coaching classes,Math,Sports,Sometimes,Yes
2026/04/07 8:45:19 AM GMT+5,57.0,10,Male,More than 4 hours,Self-study,Math;,,Often,Yes
2026/04/07 8:47:20 AM GMT+5,43.0,11,Prefer Not Say,2–4 hours,Group study,English;,,Often,Yes
2026/04/07 8:47:45 AM GMT+5,59.0,10,Female,2–4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Often,Yes
2026/04/07 8:49:47 AM GMT+5,17.0,9,Male,2–4 hours,Group study,Math,Sports,Rarely,Yes
2026/04/07 8:50:11 AM GMT+5,47.0,Post-grad (Masters),Male,2–4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Sometimes,Yes
2026/04/07 8:50:36 AM GMT+5,58.0,10,Prefer Not Say,More than 4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Often,Yes
2026/04/07 8:51:00 AM GMT+5,20.0,Post-grad (Masters),Male,Less than 1 hour,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Sometimes,Yes
2026/04/07 8:55:58 AM GMT+5,30.0,11,Prefer Not Say,Less than 1 hour,Self-study,English,Arts/Music,Often,Yes
2026/04/07 8:56:46 AM GMT+5,24.0,9,Male,2–4 hours,Self-study,Math,Sports,Sometimes,Yes
2026/04/07 8:58:46 AM GMT+5,24.0,12,Female,1–2 hours,Group study,English,Arts/Music,Often,Yes
2026/04/07 8:59:11 AM GMT+5,34.0,Under-Grad (Bachelors),Female,Less than 1 hour,Online tutorials,English;,,Rarely,Yes
2026/04/07 9:01:12 AM GMT+5,16.0,9,Male,2–4 hours,Online tutorials,Math,Arts/Music,Rarely,Yes
2026/04/07 9:01:35 AM GMT+5,16.0,Post-grad (Masters),Female,Less than 1 hour,Group study,Math;,,Rarely,Yes
2026/04/07 9:02:00 AM GMT+5,41.0,Post-grad (Masters),Female,1–2 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Often,Yes
2026/04/07 9:03:13 AM GMT+5,21.0,10,Prefer Not Say,More than 4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Sometimes,Yes
2026/04/07 9:05:14 AM GMT+5,27.0,10,Female,More than 4 hours,Group study,English,Debates/Speeches,Sometimes,Yes
2026/04/07 9:06:02 AM GMT+5,49.0,Under-Grad (Bachelors),Female,More than 4 hours,Coaching classes,Math,Arts/Music,Rarely,Yes
2026/04/07 9:08:53 AM GMT+5,59.0,Under-Grad (Bachelors),Female,More than 4 hours,Coaching classes,Math,Debates/Speeches,Rarely,Yes
2026/04/07 9:15:46 AM GMT+5,49.0,9,Male,2–4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 9:15:53 AM GMT+5,39.0,11,Prefer Not Say,Less than 1 hour,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Often,Yes
2026/04/07 9:16:31 AM GMT+5,53.0,10,Female,More than 4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Rarely,Yes
2026/04/07 9:17:07 AM GMT+5,27.0,Post-grad (Masters),Prefer Not Say,2–4 hours,Group study,Math,Arts/Music,Rarely,Yes
2026/04/07 9:17:16 AM GMT+5,16.0,10,Male,1–2 hours,Self-study,English;,,Rarely,Yes
2026/04/07 9:17:48 AM GMT+5,28.0,9,Female,1–2 hours,Online tutorials,Math,Sports,Never,Yes
2026/04/07 9:18:22 AM GMT+5,52.0,10,Male,Less than 1 hour,Online tutorials,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 9:20:02 AM GMT+5,40.0,12,Prefer Not Say,1–2 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Often,Yes
2026/04/07 9:20:21 AM GMT+5,25.0,9,Male,1–2 hours,Group study,Math;,,Sometimes,Yes
2026/04/07 9:20:52 AM GMT+5,31.0,Under-Grad (Bachelors),Prefer Not Say,2–4 hours,Online tutorials,English,Sports,Rarely,Yes
2026/04/07 9:22:39 AM GMT+5,56.0,Under-Grad (Bachelors),Female,More than 4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Sometimes,Yes
2026/04/07 9:23:09 AM GMT+5,43.0,Under-Grad (Bachelors),Prefer Not Say,2–4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Rarely,Yes
2026/04/07 9:24:57 AM GMT+5,55.0,12,Male,Less than 1 hour,Online tutorials,English,Sports,Never,Yes
2026/04/07 9:25:50 AM GMT+5,21.0,10,Male,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Rarely,Yes
2026/04/07 9:25:57 AM GMT+5,58.0,9,Female,More than 4 hours,Self-study,English,Debates/Speeches,Never,Yes
2026/04/07 9:26:15 AM GMT+5,46.0,Under-Grad (Bachelors),Female,2–4 hours,Group study,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 9:26:40 AM GMT+5,23.0,Post-grad (Masters),Male,More than 4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 9:28:42 AM GMT+5,41.0,12,Male,Less than 1 hour,Online tutorials,Math;,,Never,Yes
2026/04/07 9:28:57 AM GMT+5,43.0,12,Prefer Not Say,1–2 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Never,Yes
2026/04/07 9:29:13 AM GMT+5,39.0,12,Prefer Not Say,2–4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI);",,Never,Yes
2026/04/07 9:29:31 AM GMT+5,19.0,12,Female,Less than 1 hour,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Rarely,Yes
2026/04/07 9:31:01 AM GMT+5,15.0,10,Prefer Not Say,More than 4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Never,Yes
2026/04/07 9:31:11 AM GMT+5,44.0,Post-grad (Masters),Prefer Not Say,1–2 hours,Online tutorials,English,Arts/Music,Sometimes,Yes
2026/04/07 9:32:25 AM GMT+5,26.0,Post-grad (Masters),Male,More than 4 hours,Group study,Math,Arts/Music,Rarely,Yes
2026/04/07 9:32:49 AM GMT+5,50.0,Post-grad (Masters),Female,2–4 hours,Online tutorials,English,Debates/Speeches,Rarely,Yes
2026/04/07 9:33:49 AM GMT+5,56.0,9,Male,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Rarely,Yes
2026/04/07 9:34:53 AM GMT+5,60.0,9,Prefer Not Say,More than 4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Rarely,Yes
2026/04/07 9:35:21 AM GMT+5,14.0,10,Female,Less than 1 hour,Self-study,English,Debates/Speeches,Often,Yes
2026/04/07 9:36:23 AM GMT+5,34.0,10,Prefer Not Say,More than 4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 9:36:34 AM GMT+5,56.0,12,Prefer Not Say,1–2 hours,Coaching classes,Math,Debates/Speeches,Rarely,Yes
2026/04/07 9:36:38 AM GMT+5,38.0,Under-Grad (Bachelors),Male,Less than 1 hour,Self-study,English,Debates/Speeches,Never,Yes
2026/04/07 9:37:37 AM GMT+5,42.0,Post-grad (Masters),Male,1–2 hours,Self-study,Math,Sports,Sometimes,Yes
2026/04/07 9:37:52 AM GMT+5,41.0,10,Female,Less than 1 hour,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 9:38:22 AM GMT+5,31.0,12,Male,More than 4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Never,Yes
2026/04/07 9:38:38 AM GMT+5,19.0,12,Male,2–4 hours,Online tutorials,Math,Arts/Music,Sometimes,Yes
2026/04/07 9:39:08 AM GMT+5,14.0,Under-Grad (Bachelors),Male,More than 4 hours,Online tutorials,Math,Sports,Rarely,Yes
2026/04/07 9:39:53 AM GMT+5,57.0,Under-Grad (Bachelors),Female,Less than 1 hour,Coaching classes,Math;,,Never,Yes
2026/04/07 9:41:05 AM GMT+5,14.0,10,Female,1–2 hours,Online tutorials,Math,Arts/Music,Often,Yes
2026/04/07 9:42:20 AM GMT+5,19.0,Post-grad (Masters),Prefer Not Say,1–2 hours,Self-study,Math,Sports,Rarely,Yes
2026/04/07 9:42:51 AM GMT+5,24.0,Post-grad (Masters),Male,More than 4 hours,Group study,Math,Debates/Speeches,Rarely,Yes
2026/04/07 9:43:06 AM GMT+5,16.0,Under-Grad (Bachelors),Female,More than 4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI);",,Rarely,Yes
2026/04/07 9:43:35 AM GMT+5,22.0,10,Female,2–4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Never,Yes
2026/04/07 9:43:57 AM GMT+5,54.0,Post-grad (Masters),Male,Less than 1 hour,Online tutorials,English,Debates/Speeches,Often,Yes
2026/04/07 9:44:05 AM GMT+5,43.0,11,Male,2–4 hours,Online tutorials,English,Debates/Speeches,Rarely,Yes
2026/04/07 9:45:34 AM GMT+5,35.0,Post-grad (Masters),Prefer Not Say,1–2 hours,Self-study,Math,Debates/Speeches,Rarely,Yes
2026/04/07 9:45:52 AM GMT+5,36.0,11,Prefer Not Say,Less than 1 hour,Group study,English;,,Never,Yes
2026/04/07 9:46:52 AM GMT+5,43.0,Post-grad (Masters),Male,More than 4 hours,Self-study,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 9:47:07 AM GMT+5,25.0,Post-grad (Masters),Male,Less than 1 hour,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Sometimes,Yes
2026/04/07 9:47:21 AM GMT+5,41.0,9,Prefer Not Say,2–4 hours,Coaching classes,Math;,,Rarely,Yes
2026/04/07 9:48:02 AM GMT+5,39.0,10,Female,More than 4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Rarely,Yes
2026/04/07 9:49:49 AM GMT+5,38.0,Post-grad (Masters),Female,1–2 hours,Coaching classes,Math,Debates/Speeches,Never,Yes
2026/04/07 9:50:03 AM GMT+5,34.0,9,Female,More than 4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Rarely,Yes
2026/04/07 9:50:48 AM GMT+5,25.0,Under-Grad (Bachelors),Male,Less than 1 hour,Coaching classes,Math;,,Rarely,Yes
2026/04/07 9:50:51 AM GMT+5,29.0,Under-Grad (Bachelors),Female,2–4 hours,Coaching classes,English,Arts/Music,Rarely,Yes
2026/04/07 9:51:03 AM GMT+5,58.0,10,Male,1–2 hours,Self-study,English;,,Rarely,Yes
2026/04/07 9:51:15 AM GMT+5,30.0,12,Female,1–2 hours,Group study,English,Arts/Music,Rarely,Yes
2026/04/07 9:52:02 AM GMT+5,34.0,9,Male,1–2 hours,Online tutorials,English;,,Sometimes,Yes
2026/04/07 9:52:28 AM GMT+5,16.0,9,Male,2–4 hours,Online tutorials,English,Debates/Speeches,Rarely,Yes
2026/04/07 9:53:29 AM GMT+5,30.0,Post-grad (Masters),Female,Less than 1 hour,Online tutorials,English,Arts/Music,Rarely,Yes
